"","upNm","pgmNm","targetNm","price"
"1","금천청소년수련관","아침B-청소년","주2회수영-청소년(구)","36000"
"2","금천청소년수련관","난초A","초4~24세미만","41000"
"3","금천청소년수련관","아침C(5회)-청소년","주5회수영-청소년(구)","56000"
"4","시립서대문청소년센터","경기민요와 장구 A","7세~초등","40000"
"5","시립서대문청소년센터","국가공인 한자지도사","성인","30000"
"6","시립서대문청소년센터","기린A","초2~5","30000"
"7","시립서대문청소년센터","상어1-3(초급)","초등학생","40000"
"8","시립서대문청소년센터","셀프리더쉽&표현력 스피치 A","초3~6","33000"
"9","시립서대문청소년센터","속성 제빵자격증반","초6~성인(3개월)","150000"
"10","시립서대문청소년센터","신나는미술세상(C)","5~6세","30000"
"11","시립서대문청소년센터","신나는미술세상(D)","초등학생","30000"
"12","시립서대문청소년센터","죠스2-1(상급)","초등학생","33000"
"13","시립서대문청소년센터","죠스2-1(상급3개월) ","초등학생","89100"
"14","시립서대문청소년센터","죠스2-2(중급)","초등학생","33000"
"15","광진청소년센터","목요바이올린(7세-성인)B","성인","61000"
"16","마포청소년수련관","재미있는통기타교실(토12시40분)","초3-성인","35000"
"17","마포청소년수련관","[휴강] 눈으로 보고 손으로 만드는 한국사(화16시)","7세-초3","25000"
"18","마포청소년수련관","모차르트(화목17시 청소년, 8/25까지) 7회수업","7세-초6","48130"
"19","마포청소년수련관","아침A-마스터(월수금06시)","청소년","50000"
"20","마포청소년수련관","아침A-상급(월수금06시)","성인","60500"
"21","마포청소년수련관","아침A-상급(월수금06시)","청소년","50000"
"22","시립서대문청소년센터","실버 (3개월)","성인,청소년(14세부터)","142560"
"23","금천청소년수련관","난초A중급-청소년","주3회수영-청소년","41000"
"24","금천청소년수련관","매화C(5회)","초4~24세미만","56000"
"25","금천청소년수련관","물개유아A","만5세~초3","36000"
"26","마포청소년수련관","아침A-중급(월수금06시)","성인","60500"
"27","마포청소년수련관","아침B-고급(화목토06시)","청소년","47000"
"28","마포청소년수련관","아침B-기초(화목토06시)","성인","51700"
"29","마포청소년수련관","아침B-기초(화목토06시)","청소년","47000"
"30","마포청소년수련관","아침B-마스터(화목토06시)","성인","51700"
"31","마포청소년수련관","아침B-마스터(화목토06시)","청소년","47000"
"32","마포청소년수련관","아침B-상급(화목토06시)","성인","51700"
"33","마포청소년수련관","아침B-상급(화목토06시)","청소년","47000"
"34","마포청소년수련관","아침C-고급1(월수금07시)","성인","60500"
"35","마포청소년수련관","아침C-고급1(월수금07시)","청소년","50000"
"36","마포청소년수련관","아침C-고급2(월수금07시)","성인","60500"
"37","마포청소년수련관","아침C-상급(월수금07시)","성인","60500"
"38","마포청소년수련관","아침D-고급1(화목토07시)","성인","51700"
"39","마포청소년수련관","아침D-고급1(화목토07시)","청소년","47000"
"40","마포청소년수련관","아침D-고급2(화목토07시)","성인","51700"
"41","마포청소년수련관","아침D-고급2(화목토07시)","청소년","47000"
"42","마포청소년수련관","아침D-마스터(화목토07시)","성인","51700"
"43","마포청소년수련관","아침D-상급(화목토07시)","청소년","47000"
"44","광진청소년센터","목요바이올린(7세-성인)B","청소년","55000"
"45","광진청소년센터","보컬트레이닝A","초등-성인","50000"
"46","마포청소년수련관","아침E-마스터(월수금08시)","성인","60500"
"47","금천청소년수련관","아침A중급-청소년","주3회수영-청소년","41000"
"48","금천청소년수련관","아침A초급-청소년","주3회수영-청소년","41000"
"49","금천청소년수련관","아침B 초급","강습2+자유4","63800"
"50","금천청소년수련관","심야A상급-청소년(3+3)","강습3+자유3","60000"
"51","금천청소년수련관","물개A-성인","성인여성(구)","51700"
"52","금천청소년수련관","단기속성(월,수,금)-6시","24세미만","135670"
"53","금천청소년수련관","백합A(3+3)","초4~24세미만","60000"
"54","마포청소년수련관","아침E-마스터(월수금08시)","청소년","50000"
"55","마포청소년수련관","아침E-상고급(월수금08시)","성인","60500"
"56","금천청소년수련관","아침B초급-청소년","주2회수영-청소년","36000"
"57","금천청소년수련관","난초A(3+3)","초4~24세미만","60000"
"58","마포청소년수련관","아침E-상고급(월수금08시)","청소년","50000"
"59","금천청소년수련관","아침C상급-청소년","수영주6회-청소년","60000"
"60","금천청소년수련관","아침C중급-청소년","주5회수영-청소년","56000"
"61","마포청소년수련관","아침E-초급(월수금08시)","성인","60500"
"62","마포청소년수련관","아침E-초급(월수금08시)","청소년","50000"
"63","금천청소년수련관","매화A-청소년","주3회수영-청소년(구)","41000"
"64","마포청소년수련관","아침배드민턴","성인","1"
"65","마포청소년수련관","아침배드민턴","청소년","1"
"66","마포청소년수련관","아쿠아로빅A(화목토08시)","성인","60500"
"67","마포청소년수련관","아쿠아로빅A(화목토08시)","청소년","50000"
