"","vtitle","vpoint","vreview"
"1","테넷","2","너무 지루함.. 평론가들이 좋아할 영화"
"2","오! 문희","8",""
"3","지니어스 독","10","강아지 너무 귀여워서 하루종일 보고 있고 싶었움...ㅠ_ㅠ"
"4","컨택트","10","진짜 명작입니다 대박이에요 꼭보세요"
"5","저스트 라이크 헤븐","10","이제 이런 유치한 영화는 못보는 시대가 왔다. 내가 나이가 든걸까. 괜히 슬퍼진다."
"6","다만 악에서 구하소서","1","에라이dhgdjddhj"
"7","다만 악에서 구하소서","7","아저씨2  아빠태국version"
"8","테넷","9","놀란 감독님 위장으로 스윽~ 침투하는 거 꽤 좋아하시는 거 같음ㅋㅋ 다크나이트 때 조커 버스 첫장면에 자연스럽게 들어가는 것처럼 여기서도 계속 은밀하게 스며드는 장면이 많았는데 처음 5분부터 인물 간에 관계부터 이해가 안되서 뇌절왔다.. (푸리아랑 사토르, 플로티늄이 뭐가 뭔지) 오페라가 뭐하던 건지 아직도 모르겠다. 근데 무식하면 용감하다고 중반 쯤 넘어가니까 그냥 인버스한거고 레드팀 블루팀 반대잖아. 하면서 이해하 된 듯한 착각이 들기시작.  막상 왜 캣이 자기를 볼 수 있었던 건지도 모르겠고(인버스를 두번 했다는데.. 닐처럼... 음)  인물 관계부터 좀 따라가기 힘들었다. 양자역학 엔도르핀은 그 다음이고. 인셉션처럼 이것도 열 번을 볼 거 같고 볼 때마다 몰랐던 게 보일 거 같다."
"9","히트맨","10","탐정 보는 느낌완전 재밌어요 :-)"
"10","점쟁이들","7","끝으로 갈수록 힘이 빠지는 감이 있지만, 오컬트 호러와 코믹을 한국 감성에 버무려 만들어 내는데 이정도 퀄리티면 꽤 준수하다 봄. 좀더 무서웠으면 하는 아쉬움과 흥미로운 소재들을 좀더 활용하지 못한 아쉬움이 약간 있다"
